entry_date,order_id,revenue,cost_energy,cost_material,cost_labor,profit
2024-01-08,ORD-1000,130500.0,52.28,34880.0,218.29,95349.43
2024-01-09,ORD-1001,146550.0,58.91,39541.04,245.25,106704.79
2024-01-08,ORD-1002,67950.0,27.28,18317.99,113.67,49491.05
2024-01-08,ORD-1003,98050.0,59.22,29776.82,246.07,67967.89
2024-01-07,ORD-1004,65400.0,26.48,17672.42,109.63,47591.46
2024-01-08,ORD-1005,56200.0,33.83,17067.2,141.16,38957.81
2024-01-08,ORD-1006,42850.0,25.83,13042.49,107.84,29673.84
2024-01-10,ORD-1007,53400.0,32.35,16287.43,134.12,36946.09
2024-01-08,ORD-1008,85550.0,51.92,26193.59,215.91,59088.57
2024-01-09,ORD-1009,75050.0,45.33,22926.99,188.84,51888.84
2024-01-10,ORD-1010,42900.0,26.04,13066.41,107.72,29699.83
2024-01-10,ORD-1011,114150.0,69.0,34824.03,286.82,78970.15
2024-01-10,ORD-1012,138750.0,55.93,37632.26,232.83,100828.99
2024-01-10,ORD-1013,118450.0,71.5,36192.66,297.98,81887.86
2024-01-10,ORD-1014,46250.0,28.04,14142.51,116.42,31963.03
2024-01-10,ORD-1015,77400.0,46.61,23588.55,195.04,53569.8
2024-01-11,ORD-1016,93600.0,37.77,25330.8,157.54,68073.88
2024-01-11,ORD-1017,46750.0,28.17,14180.4,117.32,32424.12
2024-01-12,ORD-1018,97650.0,39.2,26300.4,163.55,71146.86
2024-01-11,ORD-1019,109350.0,53.02,35713.6,221.37,73362.01
2024-01-12,ORD-1020,154950.0,62.69,41718.78,259.89,112908.64
2024-01-13,ORD-1021,56850.0,34.38,17292.13,143.26,39380.23
2024-01-13,ORD-1022,103200.0,41.67,27812.52,173.07,75172.73
2024-01-11,ORD-1023,136800.0,55.02,36922.13,229.7,99593.16
2024-01-11,ORD-1024,91200.0,55.22,27691.6,229.57,63223.62
2024-01-12,ORD-1025,64550.0,39.14,19630.51,162.35,44718.0
2024-01-14,ORD-1026,52850.0,31.92,16055.82,132.85,36629.41
2024-01-13,ORD-1027,71600.0,43.06,21766.24,179.97,49610.73
2024-01-12,ORD-1028,89700.0,36.15,24235.2,150.79,65277.85
2024-01-13,ORD-1029,129600.0,52.05,34898.69,217.11,94432.16
2024-01-14,ORD-1030,71600.0,43.18,21626.13,179.85,49750.84
