date,electricity_price,material_price_index,labor_cost_rate
2024-01-01,0.05,100.0,25.0
2024-01-02,0.05,100.87,25.0
2024-01-03,0.05,101.29,25.01
2024-01-04,0.05,101.38,25.01
2024-01-05,0.05,101.0,25.02
2024-01-06,0.05,100.77,25.02
2024-01-07,0.05,100.98,25.02
2024-01-08,0.05,100.33,25.03
2024-01-09,0.05,99.98,25.03
2024-01-10,0.05,100.21,25.04
2024-01-11,0.05,100.88,25.04
2024-01-12,0.05,100.91,25.05
2024-01-13,0.05,100.5,25.05
2024-01-14,0.05,101.06,25.05
2024-01-15,0.05,100.78,25.06
2024-01-16,0.05,100.87,25.06
2024-01-17,0.05,101.19,25.07
2024-01-18,0.05,101.63,25.07
2024-01-19,0.05,102.0,25.07
2024-01-20,0.05,102.08,25.08
2024-01-21,0.05,101.16,25.08
2024-01-22,0.05,101.4,25.09
2024-01-23,0.05,100.61,25.09
2024-01-24,0.05,99.9,25.09
2024-01-25,0.05,99.93,25.1
2024-01-26,0.05,100.63,25.1
2024-01-27,0.05,100.38,25.11
2024-01-28,0.05,100.58,25.11
2024-01-29,0.05,100.54,25.12
2024-01-30,0.05,99.77,25.12
2024-01-31,0.05,99.15,25.12
2024-02-01,0.05,99.46,25.13
2024-02-02,0.05,98.34,25.13
2024-02-03,0.05,97.96,25.14
2024-02-04,0.05,97.62,25.14
2024-02-05,0.05,97.9,25.14
2024-02-06,0.05,97.39,25.15
2024-02-07,0.05,96.89,25.15
2024-02-08,0.05,97.46,25.16
2024-02-09,0.05,96.81,25.16
2024-02-10,0.05,96.45,25.16
2024-02-11,0.05,97.39,25.17
2024-02-12,0.05,96.19,25.17
2024-02-13,0.05,96.62,25.18
2024-02-14,0.05,96.94,25.18
2024-02-15,0.05,97.28,25.18
2024-02-16,0.05,97.74,25.19
2024-02-17,0.05,97.09,25.19
2024-02-18,0.05,96.79,25.2
2024-02-19,0.05,97.19,25.2
2024-02-20,0.05,97.4,25.21
2024-02-21,0.05,96.83,25.21
2024-02-22,0.05,97.23,25.21
2024-02-23,0.05,97.3,25.22
2024-02-24,0.05,96.15,25.22
2024-02-25,0.05,96.05,25.23
2024-02-26,0.05,96.4,25.23
2024-02-27,0.05,96.74,25.23
2024-02-28,0.05,97.53,25.24
2024-02-29,0.05,97.8,25.24
2024-03-01,0.05,97.38,25.25
2024-03-02,0.0537,98.1,25.25
2024-03-03,0.05,97.94,25.25
2024-03-04,0.0518,98.03,25.26
2024-03-05,0.05,97.61,25.26
2024-03-06,0.05,98.22,25.27
2024-03-07,0.05,98.41,25.27
2024-03-08,0.0577,98.62,25.28
2024-03-09,0.0597,99.14,25.28
2024-03-10,0.0561,98.58,25.28
2024-03-11,0.0605,98.25,25.29
2024-03-12,0.0781,98.5,25.29
2024-03-13,0.0687,98.78,25.3
2024-03-14,0.0695,98.65,25.3
2024-03-15,0.0833,98.17,25.3
2024-03-16,0.0737,98.39,25.31
2024-03-17,0.0588,98.46,25.31
