order_id,product_type,machine_id,start_time,end_time,qty_target
ORD-1000,Product_A,M03,2024-01-01 06:00:00.000000,2024-01-01 14:43:53.467268,873
ORD-1001,Product_A,M01,2024-01-02 06:00:00.000000,2024-01-02 15:48:36.627000,981
ORD-1002,Product_A,M01,2024-01-02 17:04:36.627000,2024-01-02 21:37:25.717041,454
ORD-1003,Product_B,M02,2024-01-02 06:00:00.000000,2024-01-02 15:50:33.767027,1968
ORD-1004,Product_A,M02,2024-01-02 17:00:33.767027,2024-01-02 21:23:40.404936,438
ORD-1005,Product_B,M03,2024-01-02 06:00:00.000000,2024-01-02 11:38:47.326905,1129
ORD-1006,Product_B,M03,2024-01-02 12:53:47.326905,2024-01-02 17:12:36.188409,862
ORD-1007,Product_B,M02,2024-01-03 06:00:00.000000,2024-01-03 11:21:45.839206,1072
ORD-1008,Product_B,M02,2024-01-03 12:09:45.839206,2024-01-03 20:47:45.106047,1726
ORD-1009,Product_B,M03,2024-01-03 06:00:00.000000,2024-01-03 13:33:01.697270,1510
ORD-1010,Product_B,M03,2024-01-03 14:46:01.697270,2024-01-03 19:04:27.117244,861
ORD-1011,Product_B,M01,2024-01-04 06:00:00.000000,2024-01-04 17:28:05.585900,2293
ORD-1012,Product_A,M02,2024-01-04 06:00:00.000000,2024-01-04 15:18:33.782392,930
ORD-1013,Product_B,M03,2024-01-04 06:00:00.000000,2024-01-04 17:54:51.700886,2382
ORD-1014,Product_B,M03,2024-01-04 18:24:51.700886,2024-01-04 23:04:09.800166,931
ORD-1015,Product_B,M01,2024-01-05 06:00:00.000000,2024-01-05 13:47:43.270010,1559
ORD-1016,Product_A,M01,2024-01-05 14:34:43.270010,2024-01-05 20:52:31.577378,629
ORD-1017,Product_B,M02,2024-01-05 06:00:00.000000,2024-01-05 10:41:19.872599,937
ORD-1018,Product_A,M02,2024-01-05 12:11:19.872599,2024-01-05 18:43:31.911218,653
ORD-1019,Product_A,M03,2024-01-05 06:00:00.000000,2024-01-05 14:50:52.073017,884
ORD-1020,Product_A,M01,2024-01-06 06:00:00.000000,2024-01-06 16:23:14.616057,1038
ORD-1021,Product_B,M01,2024-01-06 16:54:14.616057,2024-01-06 22:37:46.872174,1145
ORD-1022,Product_A,M02,2024-01-06 06:00:00.000000,2024-01-06 12:55:02.704706,691
ORD-1023,Product_A,M02,2024-01-06 14:12:02.704706,2024-01-06 23:22:52.740060,918
ORD-1024,Product_B,M03,2024-01-06 06:00:00.000000,2024-01-06 15:10:31.267986,1835
ORD-1025,Product_B,M01,2024-01-07 06:00:00.000000,2024-01-07 12:29:19.407371,1297
ORD-1026,Product_B,M02,2024-01-07 06:00:00.000000,2024-01-07 11:18:35.318641,1061
ORD-1027,Product_B,M02,2024-01-07 12:02:35.318641,2024-01-07 19:14:09.926171,1438
